Data     ,Ora     ,Echipa 1     ,Echipa 2     ,Cota 1     ,Cota X     ,Cota 2     ,Cota Peste 2.5     ,Cota Sub 2.5     ,GG/NG(DA)    ,GG/NG(NU)   
25.02,17:15,CadizCF,RayoVallecano,3.35,2.50,2.85,4.25,1.23,2.85,1.39
25.02,19:30,RealMadrid,AtleticoMadrid,1.91,3.60,4.65,2.18,1.70,1.98,1.78
25.02,22:00,ValenciaCF,RealSociedad,3.10,3.10,2.47,2.42,1.57,2.00,1.75
26.02,15:00,AthleticBilbao,GironaFC,1.70,3.70,5.30,2.10,1.75,2.02,1.75
26.02,17:15,RCCeltadeVigo,RealValladolid,1.70,3.70,5.20,2.18,1.70,2.07,1.70
26.02,19:30,UDAlmeria,FCBarcelona,7.30,4.65,1.44,1.57,2.40,1.75,2.02
26.02,22:00,SevillaFC,CAOsasuna,1.91,3.30,4.45,2.32,1.62,2.05,1.72
27.02,22:00,VillarrealCF,GetafeCF,1.70,3.60,5.50,2.27,1.65,2.15,1.65
03.03,22:00,RealSociedad,CadizCF,1.50,4.15,7.00,2.15,1.72,2.30,1.57
04.03,15:00,GetafeCF,GironaFC,2.67,3.00,2.92,2.57,1.52,2.05,1.72
04.03,17:15,UDAlmeria,VillarrealCF,3.40,3.60,2.10,1.72,2.12,1.60,2.25
04.03,19:30,RCDMallorca,ElcheCF,1.78,3.30,5.50,2.80,1.44,2.50,1.50
04.03,22:00,AtleticoMadrid,SevillaFC,1.72,3.60,5.30,2.25,1.65,2.07,1.70
05.03,15:00,RealValladolid,RCDEspanyol,2.30,3.15,3.35,2.27,1.65,1.93,1.82
05.03,17:15,FCBarcelona,ValenciaCF,1.35,5.20,8.50,1.65,2.27,1.95,1.78
05.03,19:30,RayoVallecano,AthleticBilbao,3.00,3.05,2.60,2.42,1.57,1.98,1.78
05.03,22:00,RealBetisBalompie,RealMadrid,4.35,3.70,1.82,1.91,1.90,1.80,1.95
06.03,22:00,CAOsasuna,RCCeltadeVigo,2.60,3.10,2.92,2.45,1.55,2.02,1.75
